u_mag,g_mag,r_mag,i_mag,z_mag,ra,dec
19.879.778,17.477.772,16.455.507,16.088.264,15.922.261,1.945.657.225,2.457.942.862
18.522.083,16.969.908,16.411.898,16.194.103,16.147.202,1.946.042.877,2.464.478.871
18.346.226,17.102.636,17.224.936,17.319.084,17.378.473,1.945.995.314,245.767.772
17.452.637,16.098.097,1.564.394,15.501.603,15.437.446,1.946.249.154,2.448.815.559
18.400.948,16.928.791,16.388.443,16.107.183,1.610.379,1.946.332.228,2.451.318.007
19.937.937,1.756.068,16.566.956,16.231.783,16.018.442,194.637.787,2.452.355.804
18.374.519,17.054.338,16.583.956,16.441.622,16.370.081,1.946.412.276,2.452.927.454
17.967.356,17.115.206,16.885.862,16.790.579,1.677.948,194.651.027,2.463.873.902
1.984.313,17.656.017,1.667.948,16.362.797,16.168.427,1.946.705.451,2.457.243.854
18.016.563,16.865.749,16.458.368,16.287.493,16.291.866,1.943.618.684,2.499.072.199
18.587.612,17.410.635,16.993.338,16.879.545,1.675.305,1.944.238.861,2.493.442.979
19.977.621,17.471.449,16.194.872,15.648.987,15.327.859,1.944.358.245,2.499.227.224
18.109.711,17.249.935,17.026.983,16.980.061,16.905.993,1.944.487.478,2.495.405.523
17.567.928,16.545.845,16.121.382,15.998.861,15.981.816,1.945.496.632,2.499.500.897
17.679.588,16.556.606,16.325.357,16.206.789,16.108.816,1.945.549.835,2.491.855.902
19.164.619,17.877.419,17.350.729,17.157.499,17.051.397,1.945.825.747,2.491.437.651
19.439.589,17.815.962,17.188.669,16.983.515,16.853.182,1.946.719.705,2.498.235.874
18.608.208,17.432.163,16.948.547,16.810.137,16.743.874,1.926.869.335,2.136.023.422
1.757.563,16.220.543,15.654.012,1.543.385,15.376.984,1.927.419.679,2.138.795.426
19.018.482,17.142.717,16.380.581,16.064.014,15.885.614,1.928.903.019,2.134.779.754
18.559.313,17.348.328,16.856.123,1.664.773,16.554.432,1.929.034.297,2.134.515.623
19.444.113,17.948.698,17.288.097,17.095.053,16.868.721,1.929.076.167,2.140.926.572
19.166.845,17.880.156,17.435.272,17.288.542,1.723.761,192.936.162,213.521.902
20.673.285,1.797.838,16.625.284,16.054.787,15.748.062,1.928.409.289,2.135.114.288
19.250.252,17.788.191,17.183.609,16.980.907,16.887.667,1.929.730.646,2.134.126.396
17.384.478,16.125.998,15.631.767,15.472.968,15.420.639,1.943.425.953,2.130.911.895
18.371.256,17.081.163,16.600.931,16.418.085,16.320.473,1.943.862.562,2.136.018.293
18.979.731,17.146.811,16.535.107,16.274.902,1.614.772,1.944.022.124,2.138.364.755
20.321.955,17.851.744,16.615.137,1.617.338,1.587.368,1.943.517.575,2.122.825.322
19.389.748,17.997.177,17.442.438,17.213.732,17.051.605,1.944.079.941,2.124.959.983
17.272.865,16.003.664,15.524.318,15.316.183,15.209.579,1.944.169.218,2.128.449.448
17.449.039,1.610.813,15.583.739,15.335.258,15.259.899,1.944.238.573,2.118.326.798
18.986.576,17.775.982,17.660.734,17.617.247,17.435.204,1.944.404.847,2.137.083.046
19.026.243,17.711.124,17.197.464,16.994.637,16.845.369,1.944.772.324,2.132.516.586
17.987.293,16.493.778,15.863.684,1.562.164,1.552.031,1.945.057.757,2.124.722.376
19.533.293,17.912.584,17.242.897,17.003.353,16.809.614,1.945.364.835,2.133.272.765
20.212.118,17.659.752,16.447.622,16.005.232,15.733.174,194.454.929,2.122.329.253
20.375.937,1.783.848,16.662.601,16.173.153,15.894.304,1.945.494.024,2.122.060.323
17.795.862,16.295.372,15.708.775,15.486.825,15.395.931,1.945.891.818,2.135.923.364
17.840.609,16.167.013,15.512.217,15.247.466,15.110.496,1.946.414.351,2.128.093.709
19.549.295,17.966.295,17.282.274,16.987.005,16.798.223,1.946.504.515,2.120.634.965
17.839.867,16.757.011,16.360.985,16.197.571,16.114.187,1.946.575.674,2.123.584.394
18.863.327,16.844.643,16.033.052,15.709.505,15.510.828,1.946.601.069,2.119.754.704
18.133.659,16.140.881,15.436.941,1.521.468,1.511.799,1.927.030.583,2.171.704.494
19.008.427,17.061.522,16.256.279,15.943.791,15.768.008,1.927.114.063,2.178.115.387
17.202.711,15.934.076,15.450.829,15.276.764,15.215.141,1.927.315.768,2.188.655.195
17.585.274,1.628.602,1.589.331,1.572.883,1.571.777,1.927.969.946,2.173.993.972
18.310.272,17.231.867,16.872.772,16.672.699,16.627.638,1.928.122.124,2.181.125.641
17.404.072,16.163.015,15.681.577,15.542.408,15.488.845,1.928.659.476,2.187.661.934
1.835.219,16.627.069,15.940.082,15.727.679,15.639.837,1.928.651.122,2.168.186.263
18.401.402,16.656.372,15.940.804,15.696.485,15.577.778,1.928.840.434,2.168.321.908
19.839.325,17.928.787,17.169.779,16.884.539,16.673.679,1.929.099.433,2.179.747.629
17.693.455,1.654.035,16.099.136,15.971.938,15.886.282,1.929.129.617,2.178.241.756
19.062.735,17.842.993,17.326.643,17.108.498,17.004.007,1.929.352.792,2.179.946.624
19.217.297,17.691.057,17.088.793,1.688.422,16.785.849,1.929.359.522,2.176.920.589
18.679.394,17.587.164,17.286.655,17.173.887,17.142.479,1.929.535.505,2.185.320.548
18.359.068,16.944.845,16.470.097,16.283.636,16.202.553,1.929.887.917,2.187.971.362
19.206.848,17.331.385,16.668.325,1.641.448,16.282.446,1.943.420.564,216.662.279
19.565.502,17.109.375,15.953.233,15.514.467,15.245.198,1.934.863.136,2.167.431.392
18.850.754,17.230.566,16.557.312,16.293.184,1.618.866,1.935.001.104,218.102.448
19.184.204,17.684.065,17.052.153,16.834.463,16.724.167,1.934.989.386,2.173.925.038
18.785.612,17.688.671,17.301.828,17.127.754,17.039.686,1.946.760.564,2.173.151.988
18.732.552,16.603.016,15.849.029,15.604.876,15.472.582,1.947.024.852,2.178.068.573
19.203.884,16.998.247,1.617.791,15.867.279,15.731.372,1.947.107.456,2.167.888.714
18.049.332,16.892.056,16.533.926,16.361.027,16.337.402,1.947.143.424,2.171.600.728
17.232.733,16.254.841,15.955.319,15.836.882,15.838.769,1.947.220.383,2.165.351.469
18.799.614,1.771.191,17.338.598,17.171.648,17.091.621,1.947.297.304,2.175.813.417
18.559.965,17.401.779,16.898.642,16.692.335,16.637.547,1.947.716.365,2.164.772.276
17.065.264,1.596.577,15.660.754,15.533.927,15.591.767,1.947.765.198,2.167.851.934
18.370.182,17.149.559,16.638.975,16.378.033,16.290.451,1.947.766.947,2.167.464.376
1.774.823,16.341.753,15.822.218,1.563.902,15.599.024,194.823.923,2.173.560.156
18.456.841,16.924.847,16.382.362,16.164.711,16.092.344,1.948.348.093,2.168.637.731
18.824.608,17.815.266,17.443.649,17.344.275,17.297.852,1.948.386.215,2.157.681.666
18.434.563,17.508.585,17.174.223,17.084.585,17.047.766,1.948.778.462,2.157.571.618
20.176.926,17.824.955,16.826.073,16.474.033,16.215.416,1.948.788.311,2.159.282.273
19.944.815,17.381.611,16.216.169,15.781.528,15.520.985,1.949.656.872,216.904.057
16.576.687,15.588.979,15.329.535,15.274.703,15.250.714,1.934.714.257,2.222.694.781
17.962.086,17.071.611,16.785.578,16.684.429,16.660.557,1.934.929.833,2.221.111.892
1.903.491,17.642.569,17.133.566,16.971.727,16.901.159,1.935.027.378,2.226.705.031
19.296.953,17.170.662,16.261.591,15.974.498,15.818.026,1.935.120.864,2.220.837.985
17.851.675,16.179.277,15.581.106,15.402.987,15.364.491,1.935.138.089,2.212.925.359
18.066.067,16.750.149,16.206.177,16.000.032,15.904.709,1.946.808.681,2.212.161.763
17.339.306,16.037.304,1.556.626,15.397.284,15.337.919,1.946.998.474,2.213.762.384
18.436.888,17.103.964,16.591.602,16.433.666,1.635.281,1.946.974.358,2.200.522.964
16.890.301,15.850.168,15.513.247,15.434.688,15.402.948,1.947.510.599,2.220.369.997
19.377.588,1.712.756,16.166.294,15.939.751,15.627.655,1.947.863.962,2.215.336.126
17.955.576,17.044.254,16.789.156,16.720.594,16.697.865,194.787.581,2.215.185.128
19.279.919,17.714.989,16.991.556,16.729.177,16.613.012,1.947.991.207,220.799.985
1.795.652,16.648.491,16.200.857,16.066.545,16.023.981,1.948.119.587,2.199.856.769
18.175.985,16.597.986,16.062.838,1.585.806,15.791.249,1.948.289.635,220.692.477
19.734.419,17.786.573,16.976.095,16.659.317,16.498.798,1.948.389.024,2.203.784.986
16.551.252,15.581.914,15.233.115,15.074.094,15.050.744,1.948.500.624,221.157.319
1.778.968,16.504.644,16.046.762,15.896.911,15.848.387,1.948.676.632,2.199.828.099
18.928.375,17.689.837,17.200.356,16.979.225,16.922.371,194.885.307,2.212.103.583
18.578.674,16.950.632,16.354.237,16.104.601,16.013.615,1.948.859.452,2.210.546.784
17.326.004,16.238.848,1.584.065,15.710.633,15.660.864,1.948.899.747,2.205.694.369
1.703.121,15.880.026,15.473.311,15.319.786,15.309.555,1.948.952.029,2.210.654.353
18.397.911,17.317.987,16.939.653,16.806.578,16.807.489,1.949.029.373,2.203.465.702
18.502.611,17.482.849,17.214.787,17.144.054,17.131.594,1.949.151.403,2.217.268.368
17.215.406,15.962.989,15.475.753,15.304.233,15.225.072,1.949.180.306,2.211.791.865
1.786.174,16.723.255,16.315.456,16.211.903,16.147.701,194.930.597,2.201.570.971
1.812.488,16.476.723,15.868.102,15.629.156,15.511.901,1.949.462.337,2.206.827.263
18.952.824,17.938.456,17.541.945,17.376.556,17.274.963,1.949.795.537,2.207.872.539
16.633.564,15.565.646,1.515.798,15.052.853,15.006.776,1.949.796.675,2.200.064.493
18.327.574,17.111.727,16.706.316,16.567.379,16.513.412,1.949.935.714,2.215.016.401
20.190.704,17.705.479,16.409.061,1.586.571,15.561.542,1.934.638.558,2.264.943.757
18.503.059,16.859.045,16.184.532,15.904.263,15.733.261,1.934.726.731,2.257.749.083
19.110.359,17.645.735,17.064.011,1.679.409,16.639.204,1.934.797.984,2.265.140.945
19.642.012,17.303.413,16.317.381,15.937.593,1.575.779,1.934.811.931,2.260.172.502
18.123.945,16.927.803,1.650.046,16.358.068,16.315.718,1.946.732.914,2.253.697.897
17.469.898,16.381.563,1.588.316,15.706.375,15.645.931,1.947.054.854,2.260.727.316
17.028.301,15.794.462,15.359.459,15.183.909,15.092.815,1.947.332.174,2.254.742.581
18.643.524,17.706.709,17.403.591,17.314.575,17.289.623,1.947.484.875,2.244.914.861
19.296.726,17.995.584,17.564.901,17.389.215,17.326.645,1.947.620.923,2.252.670.699
18.903.383,17.405.378,16.860.821,16.674.873,16.577.801,1.947.849.239,2.258.546.997
18.535.858,17.182.873,16.641.756,16.452.854,16.347.937,1.947.909.769,2.253.795.097
19.496.027,17.942.593,17.385.328,17.206.436,1.711.565,1.948.114.215,225.870.837
18.832.489,16.765.068,15.954.737,15.672.852,15.543.465,1.948.152.237,2.254.268.959
18.444.376,17.279.703,16.844.788,1.667.301,16.668.222,1.948.354.668,2.255.020.797
16.881.016,1.599.762,15.724.141,15.611.053,15.601.349,1.949.603.948,2.258.880.662
20.202.837,17.894.308,16.836.454,16.420.053,16.187.496,1.948.456.489,2.248.819.848
19.943.836,1.743.696,16.302.322,15.864.707,15.648.988,1.949.806.047,2.254.901.241
20.166.826,17.703.897,16.481.829,15.971.523,15.701.983,1.934.733.504,2.295.478.132
1.783.769,16.596.134,16.157.232,15.986.153,15.941.245,1.934.752.379,2.293.555.043
18.821.629,17.812.296,17.394.196,17.240.932,1.715.189,1.934.801.719,2.301.224.994
18.481.417,17.167.824,16.649.988,16.468.252,16.376.196,1.934.859.767,2.300.646.877
2.040.835,17.828.873,16.612.886,16.056.622,15.721.096,1.934.709.406,2.300.267.441
19.097.393,1.711.447,16.315.565,15.970.161,15.830.554,1.946.910.955,2.287.212.262
19.438.297,17.734.091,17.079.998,1.682.719,16.716.728,194.708.489,230.484.133
17.433.235,16.375.101,15.986.242,15.873.222,15.848.246,1.947.124.989,2.294.496.071
19.311.842,16.986.156,15.995.844,15.647.951,15.444.797,1.947.202.801,2.285.580.277
17.542.576,16.541.815,16.249.411,16.115.023,1.610.453,19.480.708,2.300.134.536
18.943.464,17.747.652,17.316.772,17.163.591,17.086.615,1.948.278.191,2.286.603.807
18.933.622,17.114.555,16.351.559,16.097.395,15.963.657,1.948.488.641,2.293.121.419
17.496.222,16.397.411,15.991.016,15.849.579,15.814.438,1.920.182.927,2.469.077.102
18.421.856,16.967.825,1.641.387,1.622.543,16.148.746,1.920.489.554,2.464.805.793
18.762.255,17.577.536,17.118.334,16.939.217,16.886.267,1.935.613.541,246.262.303
1.792.524,16.652.122,16.173.265,15.999.261,15.948.502,1.935.648.969,2.460.616.849
18.028.173,1.718.996,16.920.038,16.769.707,16.754.587,1.936.152.203,2.455.419.949
18.632.721,17.084.612,16.484.968,16.243.835,16.143.818,1.936.816.571,2.464.198.265
18.657.272,17.416.618,17.037.348,1.683.499,16.892.044,1.937.141.871,2.474.610.096
18.933.064,17.087.084,16.375.231,16.112.169,15.991.332,1.937.166.928,2.463.379.039
18.418.989,17.281.858,16.822.943,16.638.115,16.541.523,1.937.181.847,2.456.211.065
19.327.311,17.912.279,17.326.883,17.145.935,17.020.327,1.938.166.321,2.460.558.048
20.564.671,17.985.025,16.537.544,15.690.162,1.522.085,1.938.203.523,246.473.625
18.697.746,1.780.085,17.504.087,17.414.577,1.738.306,1.938.418.203,2.471.824.248
19.902.962,17.350.075,16.154.514,15.598.207,15.250.342,1.938.433.838,2.470.121.706
18.736.242,17.815.575,17.571.053,17.464.666,17.477.516,1.936.236.045,2.497.295.407
17.298.016,15.922.137,15.441.746,15.271.099,15.185.596,1.936.417.045,2.499.356.937
200.611,17.698.383,16.402.937,15.854.589,15.564.646,1.936.185.597,2.497.299.757
18.989,17.525.791,16.966.883,16.716.389,16.595.045,1.937.826.546,2.499.099.362
18.330.505,17.107.565,16.665.977,16.456.488,16.416.033,1.938.049.861,2.496.871.526
18.235.769,17.071.091,16.618.835,16.453.667,1.636.017,1.919.876.739,2.147.329.546
18.705.936,16.979.548,16.319.841,16.045.925,15.927.678,1.920.571.779,2.134.335.865
19.185.406,1.795.437,1.742.461,17.220.093,17.150.072,1.920.923.896,2.141.257.559
1.738.372,16.016.499,15.492.455,15.308.524,15.219.083,1.921.127.296,2.147.419.454
17.728.636,16.560.215,16.169.498,16.018.332,15.924.232,1.921.084.206,2.130.776.117
17.085.476,15.917.027,15.494.612,15.347.383,15.282.377,1.921.210.249,2.137.950.948
19.040.037,17.657.753,1.714.674,16.921.888,16.867.441,1.935.220.023,213.245.302
19.051.851,16.697.432,15.795.502,15.433.983,15.231.524,1.935.331.642,2.122.764.595
18.892.292,17.586.613,17.125.027,16.851.604,16.811.604,193.587.542,2.122.876.986
18.279.505,17.303.833,17.000.654,16.854.986,16.838.318,1.936.170.735,213.432.929
19.485.697,17.775.139,17.137.201,16.859.425,16.740.738,1.936.193.154,213.506.992
17.764.925,16.357.769,15.878.181,15.666.877,1.560.398,1.936.295.816,2.138.677.422
19.531.736,17.833.761,17.188.856,16.914.827,16.792.088,1.936.435.804,2.131.729.313
18.951.553,17.595.707,17.124.556,16.851.753,16.858.719,1.936.513.786,2.134.544.493
19.520.084,17.120.598,16.124.704,1.572.254,15.539.927,193.659.089,2.140.381.567
18.948.191,17.827.257,17.406.452,17.219.088,17.234.913,1.937.400.479,2.141.351.099
17.070.324,16.227.142,15.957.559,15.789.513,15.801.073,1.937.541.474,2.128.945.907
20.544.329,17.953.289,16.523.428,15.603.804,15.130.887,1.936.651.273,2.137.360.241
20.305.546,17.563.583,16.299.307,15.783.277,15.510.109,1.936.629.712,2.130.305.489
1.870.573,17.197.571,16.599.634,16.393.003,16.317.123,19.378.865,2.126.418.518
18.695.986,17.454.742,16.909.903,16.740.671,16.671.415,1.938.259.247,21.344.489
18.429.585,16.817.463,16.200.289,15.984.862,15.817.729,193.837.605,2.123.813.068
1.685.993,15.797.214,15.399.364,15.257.496,15.216.455,1.920.022.337,2.176.045.462
20.336.115,17.984.547,16.900.459,16.479.069,16.277.967,191.983.224,2.172.889.869
20.443.686,17.743.139,16.384.241,15.739.438,1.538.754,1.920.109.973,2.173.614.346
18.159.063,17.056.437,16.591.188,16.381.092,16.307.964,1.920.311.177,2.190.569.992
19.478.518,17.566.031,16.685.602,16.439.598,16.276.871,1.920.432.534,2.190.348.025
18.587.271,17.132.401,16.556.681,16.332.594,16.248.772,1.920.467.027,2.175.785.404
17.564.661,16.389.431,15.941.484,15.786.362,15.756.988,1.921.214.375,2.187.975.426
19.709.797,17.543.282,16.560.753,16.184.261,15.985.521,192.128.745,2.183.501.946
19.043.816,17.252.792,16.533.596,16.288.105,16.167.137,192.135.927,2.186.742.283
19.961.433,17.757.534,16.956.869,16.648.947,16.496.838,1.935.949.931,2.171.748.312
18.955.992,17.354.937,16.742.647,1.646.244,16.335.398,1.936.068.531,216.778.357
18.912.853,17.274.258,16.654.222,16.447.926,16.358.633,1.936.658.202,2.164.650.039
19.844.231,17.622.448,16.616.732,16.251.621,16.058.462,193.722.417,2.170.175.761
19.978.846,17.492.523,16.488.739,16.125.067,15.952.127,1.937.478.608,2.182.421.782
19.803.816,17.921.682,17.086.838,1.679.085,16.653.097,19.198.165,222.633.888
17.282.673,15.938.366,15.446.169,15.247.209,15.174.493,1.920.168.065,2.217.305.357
18.736.656,17.528.271,17.036.118,16.954.763,16.845.758,1.920.265.121,2.229.287.952
18.278.122,17.049.173,16.637.892,16.486.118,16.450.953,192.058.839,2.231.117.115
17.938.181,17.005.947,1.679.789,16.724.472,16.733.568,1.921.051.746,2.231.069.625
18.735.607,17.598.999,17.173.512,17.030.218,17.005.632,1.935.221.517,2.226.612.083
17.184.841,16.022.512,15.946.853,15.977.568,16.031.712,1.935.341.203,2.217.854.157
18.123.831,16.838.114,16.342.777,16.142.065,16.030.809,1.935.898.026,2.223.351.093
18.021.727,16.511.616,15.959.021,15.762.162,15.698.114,1.936.004.214,2.216.308.361
18.701.956,17.614.244,17.541.557,17.448.473,17.400.673,1.936.045.256,2.207.322.502
20.493.336,17.846.029,16.572.058,16.046.309,15.722.274,1.936.638.511,2.209.352.713
18.966.305,1.790.254,17.470.894,17.270.321,17.173.145,1.936.689.421,2.213.477.363
20.117.489,17.545.979,16.210.716,1.563.683,15.331.929,1.937.141.868,2.218.321.553
18.745.668,1.752.112,17.487.858,17.524.014,17.568.729,1.937.391.275,222.375.129
1.722.982,16.033.968,15.748.779,15.505.913,15.479.501,1.937.465.442,2.222.058.766
187.173,17.098.566,16.468.658,16.242.741,16.138.334,1.937.539.516,2.220.108.842
17.989.311,16.448.977,1.584.697,15.569.833,15.471.614,1.937.967.804,2.221.451.258
19.562.183,17.827.513,17.070.282,16.764.458,1.659.001,1.938.129.134,220.648.272
18.504.414,17.437.283,16.986.187,16.831.369,16.770.044,1.938.246.314,2.205.576.818
19.023.991,17.203.287,1.645.825,16.232.874,16.062.149,1.919.828.033,2.272.891.099
19.128.614,17.397.732,16.623.184,16.358.456,16.199.379,1.919.893.201,2.268.928.951
17.667.406,16.573.954,16.189.188,16.055.958,16.019.691,1.919.949.032,2.264.227.637
17.584.742,16.341.042,15.912.744,15.707.199,15.629.972,1.944.541.113,2.180.181.615
19.447.176,17.441.565,1.667.478,16.435.701,16.281.702,194.468.348,2.176.946.912
19.366.812,16.924.845,15.902.801,15.561.812,1.535.813,1.944.742.704,2.161.961.862
19.287.495,17.956.686,17.436.445,17.278.189,17.189.898,1.944.888.798,217.858.507
1.834.543,17.028.187,16.413.952,16.177.776,16.057.623,1.945.128.611,2.168.972.233
19.973.743,17.550.154,16.496.334,16.078.732,15.850.895,1.945.234.193,2.160.430.409
1.711.293,15.953.434,15.532.278,15.387.977,15.369.081,1.945.494.803,2.177.934.841
18.694.723,16.940.577,16.234.486,15.963.984,15.843.208,1.945.453.224,2.167.773.314
19.541.927,17.827.169,17.190.342,16.944.038,16.858.667,1.945.634.381,2.170.958.241
20.642.044,17.973.391,16.510.254,15.677.478,15.221.568,194.519.869,2.165.838.883
17.849.846,16.670.368,16.209.536,16.032.484,15.996.276,1.946.110.011,2.171.239.304
19.400.415,17.111.235,16.164.848,15.855.758,15.695.535,1.946.227.237,2.172.265.445
18.670.879,17.312.044,16.754.324,1.654.792,16.460.119,1.946.718.678,2.165.441.489
18.355.556,17.288.271,1.690.983,16.782.131,16.750.187,1.927.234.062,2.229.499.444
18.470.884,17.163.828,16.665.003,16.452.127,16.386.822,1.927.313.074,2.219.118.358
19.682.468,17.456.257,16.416.349,15.979.959,15.740.637,1.927.565.356,2.216.753.098
1.712.023,15.834.865,15.381.263,15.186.595,15.154.331,1.927.836.789,2.221.996.285
18.561.323,16.621.593,15.853.553,1.557.116,154.472,1.927.895.468,2.214.131.905
1.807.044,16.245.512,15.571.904,1.532.626,15.219.628,1.928.088.423,2.217.524.801
17.847.937,16.848.442,16.571.434,16.445.297,16.471.285,1.928.165.343,2.216.527.839
20.552.717,17.845.175,16.574.394,15.581.663,15.186.635,1.928.049.398,2.224.949.546
18.887.857,16.494.598,15.549.826,15.246.553,15.139.988,1.928.592.395,2.218.771.482
20.011.728,1.794.385,17.058.762,16.732.494,16.575.054,1.928.664.192,2.223.956.064
18.084.789,16.634.293,16.056.927,1.584.303,15.761.744,1.928.998.347,2.222.911.882
18.727.184,17.736.818,1.736.182,17.215.586,17.175.625,192.916.683,2.228.600.208
18.751.652,17.771.566,17.367.958,17.246.271,17.633.261,1.929.152.663,221.720.943
16.931.206,16.030.306,15.777.578,15.697.973,15.667.769,192.940.034,2.211.303.086
18.769.691,17.877.602,17.565.041,17.439.543,17.419.777,1.929.474.897,2.210.034.314
18.996.887,16.751.774,15.797.172,15.486.972,15.298.651,192.970.871,2.218.228.789
17.933.605,16.867.661,16.379.694,16.179.762,16.094.053,1.930.008.807,2.212.349.456
18.581.758,16.547.363,15.791.826,15.492.749,15.402.445,1.943.646.685,2.208.002.945
18.473.227,16.776.236,16.058.762,15.789.307,15.655.869,1.943.973.512,2.221.312.792
17.413.881,16.385.248,16.015.478,15.919.253,1.586.809,194.513.972,221.989.507
